year,party,constituency,votes,votes_total
2003,B,NV,4057,32484
2003,B,NA,7722,32484
2003,B,SU,5934,32484
2003,B,SV,6387,32484
2003,B,RS,4185,32484
2003,B,RN,4199,32484
2003,D,NV,5532,61701
2003,D,NA,5544,61701
2003,D,SU,7307,61701
2003,D,SV,16456,61701
2003,D,RS,14029,61701
2003,D,RN,12833,61701
2003,F,NV,2666,13523
2003,F,NA,1329,13523
2003,F,SU,2188,13523
2003,F,SV,2890,13523
2003,F,RS,2448,13523
2003,F,RN,2002,13523
2003,N,NV,122,1791
2003,N,NA,136,1791
2003,N,SU,166,1791
2003,N,SV,399,1791
2003,N,RS,504,1791
2003,N,RN,464,1791
2003,S,NV,4346,56700
2003,S,NA,5503,56700
2003,S,SU,7426,56700
2003,S,SV,14029,56700
2003,S,RS,12286,56700
2003,S,RN,13110,56700
2003,T,NV,0,844
2003,T,NA,0,844
2003,T,SU,844,844
2003,T,SV,0,844
2003,T,RS,0,844
2003,T,RN,0,844
2003,V,NV,1987,16129
2003,V,NA,3329,16129
2003,V,SU,1167,16129
2003,V,SV,2671,16129
2003,V,RS,3438,16129
2003,V,RN,3537,16129
2007,B,NV,3362,21349
2007,B,NA,5726,21349
2007,B,SU,4745,21349
2007,B,SV,3250,21349
2007,B,RS,2080,21349
2007,B,RN,2186,21349
2007,D,NV,5199,66749
2007,D,NA,6522,66749
2007,D,SU,9120,66749
2007,D,SV,19307,66749
2007,D,RS,13841,66749
2007,D,RN,12760,66749
2007,F,NV,2432,13233
2007,F,NA,1378,13233
2007,F,SU,1771,13233
2007,F,SV,3051,13233
2007,F,RS,2385,13233
2007,F,RN,2216,13233
2007,I,NV,255,5953
2007,I,NA,278,5953
2007,I,SU,435,5953
2007,I,SV,1599,5953
2007,I,RS,1680,5953
2007,I,RN,1706,5953
2007,S,NV,3793,48742
2007,S,NA,4840,48742
2007,S,SU,6783,48742
2007,S,SV,12845,48742
2007,S,RS,10233,48742
2007,S,RN,10248,48742
2007,V,NV,2855,26136
2007,V,NA,4558,26136
2007,V,SU,2498,26136
2007,V,SV,5232,26136
2007,V,RS,5065,26136
2007,V,RN,5928,26136
2009,B,NV,3967,27699
2009,B,NA,5905,27699
2009,B,SU,5390,27699
2009,B,SV,5627,27699
2009,B,RS,3435,27699
2009,B,RN,3375,27699
2009,D,NV,4037,44371
2009,D,NA,4079,44371
2009,D,SU,7073,44371
2009,D,SV,13463,44371
2009,D,RS,8211,44371
2009,D,RN,7508,44371
2009,F,NV,929,4148
2009,F,NA,384,4148
2009,F,SU,838,4148
2009,F,SV,741,4148
2009,F,RS,700,4148
2009,F,RN,556,4148
2009,O,NV,587,13519
2009,O,NA,690,13519
2009,O,SU,1381,13519
2009,O,SV,4428,13519
2009,O,RS,3076,13519
2009,O,RN,3357,13519
2009,P,NV,66,1107
2009,P,NA,61,1107
2009,P,SU,127,1107
2009,P,SV,302,1107
2009,P,RS,226,1107
2009,P,RN,325,1107
2009,S,NV,4001,55758
2009,S,NA,5312,55758
2009,S,SU,7541,55758
2009,S,SV,15669,55758
2009,S,RS,11667,55758
2009,S,RN,11568,55758
2009,V,NV,4018,40581
2009,V,NA,6937,40581
2009,V,SU,4615,40581
2009,V,SV,8473,40581
2009,V,RS,8106,40581
2009,V,RN,8432,40581
2013,A,NV,792,15584
2013,A,NA,1537,15584
2013,A,SU,1202,15584
2013,A,SV,4687,15584
2013,A,RS,3790,15584
2013,A,RN,3576,15584
2013,B,NV,6104,46173
2013,B,NA,8173,46173
2013,B,SU,9262,46173
2013,B,SV,10944,46173
2013,B,RS,5931,46173
2013,B,RN,5759,46173
2013,D,NV,4282,50455
2013,D,NA,5327,50455
2013,D,SU,7594,50455
2013,D,SV,15608,50455
2013,D,RS,9464,50455
2013,D,RN,8180,50455
2013,G,NV,208,3262
2013,G,NA,296,3262
2013,G,SU,702,3262
2013,G,SV,925,3262
2013,G,RS,575,3262
2013,G,RN,556,3262
2013,H,NV,0,126
2013,H,NA,0,126
2013,H,SU,0,126
2013,H,SV,0,126
2013,H,RS,55,126
2013,H,RN,71,126
2013,I,NV,161,5707
2013,I,NA,241,5707
2013,I,SU,786,5707
2013,I,SV,1838,5707
2013,I,RS,1394,5707
2013,I,RN,1287,5707
2013,J,NV,774,2021
2013,J,NA,306,2021
2013,J,SU,412,2021
2013,J,SV,188,2021
2013,J,RS,161,2021
2013,J,RN,180,2021
2013,K,NV,0,222
2013,K,NA,0,222
2013,K,SU,0,222
2013,K,SV,0,222
2013,K,RS,222,222
2013,K,RN,0,222
2013,L,NV,251,4658
2013,L,NA,313,4658
2013,L,SU,431,4658
2013,L,SV,1241,4658
2013,L,RS,1025,4658
2013,L,RN,1397,4658
2013,M,NV,326,326
2013,M,NA,0,326
2013,M,SU,0,326
2013,M,SV,0,326
2013,M,RS,0,326
2013,M,RN,0,326
2013,R,NV,0,118
2013,R,NA,0,118
2013,R,SU,0,118
2013,R,SV,0,118
2013,R,RS,54,118
2013,R,RN,64,118
2013,S,NV,2122,24294
2013,S,NA,2505,24294
2013,S,SU,2734,24294
2013,S,SV,6932,24294
2013,S,RS,5007,24294
2013,S,RN,4994,24294
2013,T,NV,328,5855
2013,T,NA,460,5855
2013,T,SU,904,5855
2013,T,SV,1927,5855
2013,T,RS,1163,5855
2013,T,RN,1073,5855
2013,V,NV,1470,20546
2013,V,NA,3733,20546
2013,V,SU,1581,20546
2013,V,SV,3995,20546
2013,V,RS,4279,20546
2013,V,RN,5488,20546
2013,P,NV,537,9648
2013,P,NA,716,9648
2013,P,SU,1268,9648
2013,P,SV,2541,9648
2013,P,RS,2179,9648
2013,P,RN,2407,9648
2016,A,NV,590,13578
2016,A,NA,774,13578
2016,A,SU,1565,13578
2016,A,SV,5458,13578
2016,A,RS,2518,13578
2016,A,RN,2673,13578
2016,B,NV,3482,21791
2016,B,NA,4542,21791
2016,B,SU,5154,21791
2016,B,SV,4062,21791
2016,B,RS,2564,21791
2016,B,RN,1987,21791
2016,C,NV,1044,19870
2016,C,NA,1482,19870
2016,C,SU,1983,19870
2016,C,SV,6857,19870
2016,C,RS,4440,19870
2016,C,RN,4064,19870
2016,D,NV,4951,54990
2016,D,NA,6014,54990
2016,D,SU,8509,54990
2016,D,SV,18049,54990
2016,D,RS,8929,54990
2016,D,RN,8538,54990
2016,E,NV,90,303
2016,E,NA,0,303
2016,E,SU,213,303
2016,E,SV,0,303
2016,E,RS,0,303
2016,E,RN,0,303
2016,F,NV,412,6707
2016,F,NA,645,6707
2016,F,SU,973,6707
2016,F,SV,1742,6707
2016,F,RS,1614,6707
2016,F,RN,1321,6707
2016,H,NV,0,33
2016,H,NA,0,33
2016,H,SU,0,33
2016,H,SV,0,33
2016,H,RS,33,33
2016,H,RN,0,33
2016,P,NV,1823,27449
2016,P,NA,2265,27449
2016,P,SU,3458,27449
2016,P,SV,7227,27449
2016,P,RS,6021,27449
2016,P,RN,6655,27449
2016,R,NV,0,571
2016,R,NA,211,571
2016,R,SU,74,571
2016,R,SV,103,571
2016,R,RS,79,571
2016,R,RN,104,571
2016,S,NV,1054,10893
2016,S,NA,1816,10893
2016,S,SU,1725,10893
2016,S,SV,2532,10893
2016,S,RS,1944,10893
2016,S,RN,1822,10893
2016,T,NV,282,3275
2016,T,NA,415,3275
2016,T,SU,611,3275
2016,T,SV,893,3275
2016,T,RS,578,3275
2016,T,RN,496,3275
2016,V,NV,3032,30166
2016,V,NA,4539,30166
2016,V,SU,2751,30166
2016,V,SV,6378,30166
2016,V,RS,6148,30166
2016,V,RN,7318,30166